assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-58.8256,7.2681
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1997,-78.36138,-5.25694
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.7064,-4.2539
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,G,PreservedSpecimen,1931,-80.10278,8.50722
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-51.8197,-0.4656
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.5894,5.7714
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto Amazónico de Investigaciones Científicas SINCHI,PreservedSpecimen,1997,-72.33333,-0.83333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,INBio,PreservedSpecimen,1998,-82.931944,8.536111
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2012,-79.7869,9.07646
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1987,-49.916667,-0.983333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-73.3256,-8.4131
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,1949,-67.4,4.95
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-63.0706,-9.2133
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-64.5703,4.7722
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,traits,,0,-79.74420166,9.15649986
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-67.8078,3.1231
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,"AAU, G, K, MEXU, MO, NY, QCNE",PreservedSpecimen,2005,-78.2130556,-3.0405555
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-63.4114,5.3181
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,"CHOCO, MO",PreservedSpecimen,1985,-76.66222,5.69472
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Universidad de Antioquia,PreservedSpecimen,1989,-75.166667,6.25
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1985,-61.41666,5.66666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,2001,-59.9758,5.38472
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-74.0403,-1.3428
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-64.3497,6.4975
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.3064,0.8003
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-67.3506,4.9469
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,1993,-59.55,3.3
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-65.0169,-9.6381
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-58.3556,4.7961
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-60.0975,5.8411
